Year,Week,Rank,Player,Team,FPTS,Score,Y/A,FPTS/G,FPTS,Rush_TD,FL,ATT,REC,TGT,Y/R,Rush_Yds,LG,20+,Date,Time,stadium_name,city,state,latitude,longitude,indoor_outdoor,surface_type,elevation,year_opened,temp_C,precip_mm,wind_kph,rel_humidity,pressure_hpa
2018,1,62,Trenton Cannon,new_york_jets,2.1,8.88,2.5,2.1,2.1,0,0,6,1,1,6.0,15,5,0,2018-09-10,7:10PM,Ford Field,Detroit,MI,42.34,-83.0456,Indoor,Turf,600.0,2002.0,17.2,0.0,42.84,81.0,1013.5
2018,1,63,Darren Sproles,philadelphia_eagles,3.2,7.3,2.0,3.2,3.2,0,0,5,4,7,5.5,10,5,0,2018-09-06,8:20PM,Lincoln Financial Field,Philadelphia,PA,39.9008,-75.1675,Outdoor,Grass,30.0,2003.0,28.6,0.2,18.0,69.0,1019.2
2018,1,64,Rashaad Penny,seattle_seahawks,4.3,7.02,1.1,4.3,4.3,0,0,7,4,5,8.8,8,5,0,2018-09-09,4:25PM,Empower Field at Mile High,Denver,CO,39.7439,-105.0201,Outdoor,Turf,5280.0,2001.0,28.4,0.0,29.880000000000003,18.0,1007.1
2018,1,65,Cordarrelle Patterson,new_england_patriots,0.0,6.9,4.3,0.0,0.0,0,0,3,1,1,6.0,13,10,0,2018-09-09,1:00PM,Gillette Stadium,Foxborough,MA,42.0909,-71.2643,Outdoor,Turf,289.0,2002.0,16.6,0.0,55.080000000000005,58.0,1025.7
2018,1,66,Ty Montgomery,baltimore_ravens,2.8,5.48,3.5,2.8,2.8,0,0,2,2,3,10.5,7,6,0,2018-09-09,1:00PM,M&T Bank Stadium,Baltimore,MD,39.2779,-76.6227,Outdoor,Grass,10.0,1998.0,18.0,1.8,104.4,89.0,1018.7
2018,1,67,Ty Montgomery,green_bay_packers,2.8,5.48,3.5,2.8,2.8,0,0,2,2,3,10.5,7,6,0,2018-09-09,8:20PM,Lambeau Field,Green Bay,WI,44.5013,-88.0622,Outdoor,Grass,640.0,1957.0,13.7,0.0,24.840000000000003,79.0,1019.5
2018,1,68,Christine Michael,indianapolis_colts,0.9,5.37,4.5,0.9,0.9,0,0,2,0,0,0.0,9,8,0,2018-09-09,1:00PM,Lucas Oil Stadium,Indianapolis,IN,39.7601,-86.1639,Indoor,Turf,700.0,2008.0,16.9,0.1,66.96000000000001,76.0,1012.7
2018,1,69,Anthony Sherman,kansas_city_chiefs,9.6,4.9,0.0,9.6,9.6,0,0,0,1,1,36.0,0,0,0,2018-09-09,4:05PM,SoFi Stadium,Inglewood,CA,33.9535,-118.3392,Outdoor,Turf,100.0,2020.0,22.3,0.0,65.52,77.0,1008.5
2018,1,70,Jonathan Stewart,new_york_giants,0.8,4.8,4.0,0.8,0.8,0,0,2,0,0,0.0,8,4,0,2018-09-09,1:00PM,MetLife Stadium,East Rutherford,NJ,40.8136,-74.0744,Outdoor,Turf,3.0,2010.0,15.1,0.7,59.04,86.0,1023.5
2018,1,71,Malcolm Brown,los_angeles_rams,2.3,4.45,5.0,2.3,2.3,0,0,1,2,2,9.0,5,5,0,2018-09-10,10:20PM,Allegiant Stadium,Las Vegas,NV,36.0908,-115.183,Indoor,Turf,2001.0,2020.0,31.0,0.0,64.8,10.0,1004.2
