Year,Week,Rank,Player,Team,FPTS,Score,FPTS/G,FPTS,FL,ATT,REC,TGT,Y/R,20+,Rec_Yds,Rec_TD,Date,Time,stadium_name,city,state,latitude,longitude,indoor_outdoor,surface_type,elevation,year_opened,temp_C,precip_mm,wind_kph,rel_humidity,pressure_hpa
2018,1,73,Jarius Wright,carolina_panthers,2.3,7.96,2.3,2.3,0,0,3,5,7.7,0,23,0,2018-09-09,4:25PM,Bank of America Stadium,Charlotte,NC,35.2258,-80.8528,Outdoor,Grass,748.0,1996.0,28.0,0.1,42.48,71.0,1010.9
2018,1,74,Jordy Nelson,unknown,2.3,7.96,2.3,2.3,0,0,3,4,7.7,0,23,0,,,,,,,,,,,,,,,,
2018,1,75,Paul Richardson,unknown,2.2,7.72,2.2,2.2,0,0,4,6,5.5,0,22,0,,,,,,,,,,,,,,,,
2018,1,76,Josh Gordon,cleveland_browns,7.7,7.65,7.7,7.7,0,0,1,3,17.0,0,17,1,2018-09-09,1:00PM,FirstEnergy Stadium,Cleveland,OH,41.5061,-81.6995,Outdoor,Grass,577.0,1999.0,15.1,1.0,101.52,88.0,1016.5
2018,1,77,Josh Gordon,new_england_patriots,7.7,7.65,7.7,7.7,0,0,1,3,17.0,0,17,1,2018-09-09,1:00PM,Gillette Stadium,Foxborough,MA,42.0909,-71.2643,Outdoor,Turf,289.0,2002.0,16.6,0.0,55.080000000000005,58.0,1025.7
2018,1,78,Zach Pascal,indianapolis_colts,1.8,7.55,1.8,1.8,0,0,1,1,18.0,0,18,0,2018-09-09,1:00PM,Lucas Oil Stadium,Indianapolis,IN,39.7601,-86.1639,Indoor,Turf,700.0,2008.0,16.9,0.1,66.96000000000001,76.0,1012.7
2018,1,79,Pierre Garcon,san_francisco_49ers,2.1,7.52,2.1,2.1,0,0,2,6,10.5,0,21,0,2018-09-09,1:00PM,U.S. Bank Stadium,Minneapolis,MN,44.974,-93.2581,Indoor,Turf,840.0,2016.0,20.6,0.0,50.04,54.0,1018.6
2018,1,80,Ty Montgomery,baltimore_ravens,0.0,7.52,0.0,0.0,0,2,2,3,10.5,0,21,0,2018-09-09,1:00PM,M&T Bank Stadium,Baltimore,MD,39.2779,-76.6227,Outdoor,Grass,10.0,1998.0,18.0,1.8,104.4,89.0,1018.7
2018,1,81,Ty Montgomery,green_bay_packers,0.0,7.52,0.0,0.0,0,2,2,3,10.5,0,21,0,2018-09-09,8:20PM,Lambeau Field,Green Bay,WI,44.5013,-88.0622,Outdoor,Grass,640.0,1957.0,13.7,0.0,24.840000000000003,79.0,1019.5
2018,1,82,Sammy Watkins,kansas_city_chiefs,2.1,7.35,2.1,2.1,0,0,3,5,7.0,0,21,0,2018-09-09,4:05PM,SoFi Stadium,Inglewood,CA,33.9535,-118.3392,Outdoor,Turf,100.0,2020.0,22.3,0.0,65.52,77.0,1008.5
2018,1,83,Austin Carr,new_orleans_saints,2.0,7.2,2.0,2.0,0,0,2,2,10.0,0,20,0,2018-09-09,1:00PM,Caesars Superdome,New Orleans,LA,29.9509,-90.0815,Indoor,Turf,3.0,1975.0,28.7,0.1,19.08,75.0,1011.6
2018,1,84,Tajae Sharpe,tennessee_titans,1.7,7.15,1.7,1.7,0,0,1,3,17.0,0,17,0,2018-09-09,1:00PM,Hard Rock Stadium,Miami Gardens,FL,25.958,-80.238,Outdoor,Grass,7.0,1987.0,30.2,0.2,20.16,68.0,1014.2
2018,1,85,Mohamed Sanu,atlanta_falcons,1.8,6.58,1.8,1.8,0,0,4,6,4.5,0,18,0,2018-09-06,8:20PM,Lincoln Financial Field,Philadelphia,PA,39.9008,-75.1675,Outdoor,Grass,30.0,2003.0,28.6,0.2,18.0,69.0,1019.2
2018,1,86,Laquon Treadwell,minnesota_vikings,1.8,6.55,1.8,1.8,0,0,2,4,9.0,0,18,0,2018-09-09,1:00PM,U.S. Bank Stadium,Minneapolis,MN,44.974,-93.2581,Indoor,Turf,840.0,2016.0,20.6,0.0,50.04,54.0,1018.6
2018,1,87,Chester Rogers,indianapolis_colts,1.8,6.45,1.8,1.8,0,0,3,3,6.0,0,18,0,2018-09-09,1:00PM,Lucas Oil Stadium,Indianapolis,IN,39.7601,-86.1639,Indoor,Turf,700.0,2008.0,16.9,0.1,66.96000000000001,76.0,1012.7
2018,1,88,Chris Conley,kansas_city_chiefs,1.5,6.35,1.5,1.5,0,0,1,1,15.0,0,15,0,2018-09-09,4:05PM,SoFi Stadium,Inglewood,CA,33.9535,-118.3392,Outdoor,Turf,100.0,2020.0,22.3,0.0,65.52,77.0,1008.5
2018,1,89,Torrey Smith,carolina_panthers,1.5,6.35,1.5,1.5,0,0,1,2,15.0,0,15,0,2018-09-09,4:25PM,Bank of America Stadium,Charlotte,NC,35.2258,-80.8528,Outdoor,Grass,748.0,1996.0,28.0,0.1,42.48,71.0,1010.9
2018,1,90,Donte Moncrief,jacksonville_jaguars,1.4,5.95,1.4,1.4,0,0,1,5,14.0,0,14,0,2018-09-09,1:00PM,MetLife Stadium,East Rutherford,NJ,40.8136,-74.0744,Outdoor,Turf,3.0,2010.0,15.1,0.7,59.04,86.0,1023.5
2018,1,91,Andre Holmes,buffalo_bills,1.4,5.95,1.4,1.4,0,0,1,1,14.0,0,14,0,2018-09-09,1:00PM,M&T Bank Stadium,Baltimore,MD,39.2779,-76.6227,Outdoor,Grass,10.0,1998.0,18.0,1.8,104.4,89.0,1018.7
2018,1,92,Andre Holmes,denver_broncos,1.4,5.95,1.4,1.4,0,0,1,1,14.0,0,14,0,2018-09-09,4:25PM,Empower Field at Mile High,Denver,CO,39.7439,-105.0201,Outdoor,Turf,5280.0,2001.0,28.4,0.0,29.880000000000003,18.0,1007.1
2018,1,93,Anthony Miller,chicago_bears,1.4,5.25,1.4,1.4,0,0,2,3,7.0,0,14,0,2018-09-09,8:20PM,Lambeau Field,Green Bay,WI,44.5013,-88.0622,Outdoor,Grass,640.0,1957.0,13.7,0.0,24.840000000000003,79.0,1019.5
2018,1,94,Josh Doctson,unknown,1.1,4.75,1.1,1.1,0,0,1,3,11.0,0,11,0,,,,,,,,,,,,,,,,
