city,state,stadium_name,Date,Time,latitude,longitude,timezone,temp_C,precip_mm,wind_kph,rel_humidity,pressure_hpa
Seattle,WA,Lumen Field,2018-11-15,8:20PM,47.5952,-122.3316,America/Los_Angeles,11.0,0.0,68.76,81,1023.0
Atlanta,GA,Mercedes-Benz Stadium,2018-11-18,1:00PM,33.755,-84.4008,America/New_York,14.2,0.0,11.16,69,1025.1
Detroit,MI,Ford Field,2018-11-18,1:00PM,42.34,-83.0456,America/Detroit,1.8,0.3,12.96,88,1024.6
Baltimore,MD,M&T Bank Stadium,2018-11-18,1:00PM,39.2779,-76.6227,America/New_York,8.8,0.0,48.24,62,1026.9
Landover,MD,FedExField,2018-11-18,1:00PM,38.9078,-76.8645,America/New_York,9.5,0.0,34.56,58,1026.7
Indianapolis,IN,Lucas Oil Stadium,2018-11-18,1:00PM,39.7601,-86.1639,America/Indiana/Indianapolis,7.5,0.0,36.72,72,1023.2
Jacksonville,FL,TIAA Bank Field,2018-11-18,1:00PM,30.3239,-81.6373,America/New_York,21.7,0.1,43.2,73,1022.4
East Rutherford,NJ,MetLife Stadium,2018-11-18,1:00PM,40.8136,-74.0744,America/New_York,5.0,0.0,11.879999999999999,56,1028.0
Glendale,AZ,State Farm Stadium,2018-11-18,4:05PM,33.5275,-112.2625,America/Phoenix,21.8,0.0,21.240000000000002,17,1015.5
Inglewood,CA,SoFi Stadium,2018-11-18,4:05PM,33.9535,-118.3392,America/Los_Angeles,18.0,0.0,55.800000000000004,63,1016.5
New Orleans,LA,Caesars Superdome,2018-11-18,4:25PM,29.9509,-90.0815,America/Chicago,19.4,0.0,20.52,61,1021.2
Chicago,IL,Soldier Field,2018-11-18,8:20PM,41.8623,-87.6167,America/Chicago,-1.1,0.0,45.36,87,1023.9
Inglewood,CA,SoFi Stadium,2018-11-19,8:15PM,33.9535,-118.3392,America/Los_Angeles,16.2,0.0,27.36,83,1015.7
Detroit,MI,Ford Field,2018-11-22,12:30PM,42.34,-83.0456,America/Detroit,-3.7,0.0,56.519999999999996,58,1035.7
Arlington,TX,AT&T Stadium,2018-11-22,4:30PM,32.7473,-97.0945,America/Chicago,15.5,0.0,43.92,59,1020.3
Orchard Park,NY,Highmark Stadium,2018-11-25,1:00PM,42.7738,-78.7868,America/New_York,6.4,0.2,73.8,92,1011.2
Charlotte,NC,Bank of America Stadium,2018-11-25,1:00PM,35.2258,-80.8528,America/New_York,10.4,0.0,7.2,84,1016.8
Cincinnati,OH,Paycor Stadium,2018-11-25,1:00PM,39.0954,-84.516,America/New_York,13.4,0.0,29.880000000000003,70,1011.6
East Rutherford,NJ,MetLife Stadium,2018-11-25,1:00PM,40.8136,-74.0744,America/New_York,12.1,0.0,50.76,72,1009.7
New Orleans,LA,Caesars Superdome,2018-11-22,8:20PM,29.9509,-90.0815,America/Chicago,10.8,0.0,28.44,72,1023.3
Philadelphia,PA,Lincoln Financial Field,2018-11-25,1:00PM,39.9008,-75.1675,America/New_York,12.9,0.0,45.72,67,1011.5
Baltimore,MD,M&T Bank Stadium,2018-11-25,1:00PM,39.2779,-76.6227,America/New_York,12.7,0.0,36.72,76,1012.9
Tampa,FL,Raymond James Stadium,2018-11-25,1:00PM,27.9759,-82.5033,America/New_York,23.6,0.0,33.84,69,1015.0
Indianapolis,IN,Lucas Oil Stadium,2018-11-25,4:25PM,39.7601,-86.1639,America/Indiana/Indianapolis,14.2,0.0,55.800000000000004,64,1006.0
Inglewood,CA,SoFi Stadium,2018-11-25,4:05PM,33.9535,-118.3392,America/Los_Angeles,19.6,0.0,45.36,77,1015.2
Denver,CO,Empower Field at Mile High,2018-11-25,4:25PM,39.7439,-105.0201,America/Denver,3.7,0.0,19.44,27,1021.7
Minneapolis,MN,U.S. Bank Stadium,2018-11-25,8:20PM,44.974,-93.2581,America/Chicago,-6.7,0.0,48.96,68,1021.2
Houston,TX,NRG Stadium,2018-11-26,8:15PM,29.6847,-95.4107,America/Chicago,8.2,0.0,33.12,56,1025.0
Arlington,TX,AT&T Stadium,2018-11-29,8:20PM,32.7473,-97.0945,America/Chicago,19.6,0.0,80.28,79,1007.4
Atlanta,GA,Mercedes-Benz Stadium,2018-12-02,1:00PM,33.755,-84.4008,America/New_York,20.2,0.0,53.28,61,1008.6
Miami Gardens,FL,Hard Rock Stadium,2018-12-02,1:00PM,25.958,-80.238,America/New_York,29.5,0.1,71.28,63,1016.3
Tampa,FL,Raymond James Stadium,2018-12-02,1:00PM,27.9759,-82.5033,America/New_York,27.0,0.0,103.32,78,1014.4
East Rutherford,NJ,MetLife Stadium,2018-12-02,1:00PM,40.8136,-74.0744,America/New_York,14.0,0.2,45.36,97,1005.0
Cincinnati,OH,Paycor Stadium,2018-12-02,1:00PM,39.0954,-84.516,America/New_York,17.1,0.0,86.4,53,998.2
Houston,TX,NRG Stadium,2018-12-02,1:00PM,29.6847,-95.4107,America/Chicago,20.6,0.0,45.36,48,1010.4
