year,week,player_id,player_name,team,position,games_played,fpts,fpts_ppr,fpts_per_game,fpts_ppr_per_game,yds,td
2026.0,18,d710bd782e2e7900d9534139fe9879c5,Elic Ayomanor,TEN,WR,16.0,75.5,116.5,4.72,7.3,515.0,4.0
2026.0,18,7b65b79756c597afb103e5789ad63be7,Terry McLaurin,WAS,WR,10.0,76.2,114.2,7.62,11.4,582.0,3.0
2026.0,18,9bc7ce71e126c6b809f58110c5059e68,Ryan Flournoy,DAL,WR,15.0,74.0,114.0,4.93,7.6,475.0,4.0
2026.0,18,883c711696a8e4986afdfff74f2c8711,Mack Hollins,NE,WR,15.0,67.4,113.4,4.49,7.6,550.0,2.0
2026.0,18,d084d2041bc31ccec9000f83c8666fd0,Xavier Worthy,KC,WR,14.0,67.9,109.9,4.85,7.9,532.0,1.0
2026.0,18,ddc92d460df2fc9e7163786f692f49a5,Keon Coleman,BUF,WR,13.0,64.4,102.4,4.95,7.9,404.0,4.0
2026.0,18,9d223eb541fe94c9d77c647d1ea093c2,Jalen Nailor,LV,WR,17.0,71.7,100.7,4.22,5.9,444.0,4.0
2026.0,18,8c8c89f0daaf9e5c7acb2894462a9841,Garrett Wilson,NYJ,WR,7.0,63.5,99.5,9.07,14.2,395.0,4.0
2026.0,18,a024b1bfd803583e0796ff202dacbed6,Darius Slayton,NYG,WR,14.0,61.8,98.8,4.41,7.1,538.0,1.0
2026.0,18,363b11f63d6c6c08ef8bc8fc89503b58,Xavier Hutchinson,HOU,WR,17.0,63.0,98.0,3.71,5.8,428.0,3.0
2026.0,18,bf5be7b34b8881aa0befc074da1fbbc1,DeMario Douglas,NE,WR,17.0,64.8,95.8,3.81,5.6,447.0,3.0
2026.0,18,03231966465ea8fafe01df24591a966f,Marvin Mims Jr.,DEN,WR,16.0,56.0,93.0,3.5,5.8,322.0,1.0
2026.0,18,0995329fe1dd850d6862aa2a134a90eb,Tez Johnson,TB,WR,16.0,64.6,92.6,4.04,5.8,322.0,5.0
2026.0,18,97e607c93818ec2663bffcf8c4abc604,Kendrick Bourne,ARI,WR,16.0,55.099999999999994,92.1,3.44,5.8,551.0,0.0
2026.0,18,64d5e428110629b20e30763fcabb80c4,Jalen Coker,CAR,WR,11.0,57.400000000000006,90.4,5.22,8.2,394.0,3.0
2026.0,18,40ba273adb840e9e4b15dbebd6eb0f39,Andrei Iosivas,CIN,WR,17.0,56.900000000000006,89.9,3.35,5.3,435.0,2.0
2026.0,18,58a5c4673c87146f08364ada518ee0dd,Xavier Legette,CAR,WR,15.0,54.3,89.3,3.62,6.0,363.0,3.0
2026.0,18,564789e8af4f312b5e2d66c6e41eeb82,Ricky Pearsall,SF,WR,10.0,52.599999999999994,88.6,5.26,8.9,528.0,0.0
2026.0,18,bb5cc621329265de8e78beff87d4cdad,Adonai Mitchell,NYJ,WR,16.0,54.900000000000006,87.9,3.43,5.5,453.0,2.0
