year,player_id,player_name,team,position,games_played,fpts,fpts_ppr,fpts_per_game,fpts_ppr_per_game,yds,td
2020.0,979531765a7cf1cd7c8165ee31a5c172,Nick Keizer,FA,TE,16.0,4.300000000000001,10.3,0.27,0.6,63.0,0.0
2020.0,a2b81d37ebbee22d78b4cebe10ae93a4,Levine Toilolo,FA,TE,16.0,4.6,9.6,0.29,0.6,46.0,0.0
2020.0,9cc95ef9aeb2077b8aed054d5ae68957,Johnny Mundt,PHI,TE,16.0,5.300000000000001,9.3,0.33,0.6,53.0,0.0
2020.0,15192466708adb1c128f417694b0c1e1,Juwan Johnson,NO,TE,7.0,3.9000000000000004,7.9,0.56,1.1,39.0,0.0
2020.0,7bfc2a3b967ffebd649a44b8825a09ae,Colin Thompson,FA,TE,15.0,6.7,7.7,0.45,0.5,7.0,1.0
2020.0,f63d5a55f432ef093e0b4c1792f50991,Jordan Thomas,FA,TE,6.0,6.3,7.3,1.05,1.2,3.0,1.0
2020.0,b5d89dc5b36c6adb29588ad30bf2823c,Jason Croom,FA,TE,4.0,6.3,7.3,1.58,1.8,3.0,1.0
2020.0,e523c4b6f1135e23b310f213841ad9f5,Tanner Hudson,CIN,TE,11.0,4.1,7.1,0.37,0.6,41.0,0.0
2020.0,ebf4af84f10d54ee547dbc418263db67,Charlie Woerner,ATL,TE,14.0,3.5999999999999996,6.6,0.26,0.5,36.0,0.0
2020.0,e4c6013334c5598fecce5aa83d5dbb38,Kahale Warring,FA,TE,7.0,3.5,6.5,0.5,0.9,35.0,0.0
2020.0,3dfcca5f5feecf0c353e9e85a7219492,Jaeden Graham,FA,TE,16.0,2.5,5.5,0.16,0.3,25.0,0.0
2020.0,14da5e68d83033390c062ff7db1ba01c,Hunter Bryant,FA,TE,5.0,4.4,5.4,0.88,1.1,44.0,0.0
2020.0,3543608fe38d94f140fd4e81cfa53df3,Daniel Brown,FA,TE,16.0,3.0999999999999996,5.1,0.19,0.3,31.0,0.0
